url,image,name,price
https://www.electronicmusicworks.com/eurorack/envelope-follower.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/e/n/env_follower_b.jpg,ENVELOPE FOLLOWER,"
                                            MSRP $82.00                                    "
https://www.electronicmusicworks.com/eurorack/vc-slew-limiter.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vc_slew_limiter_b_1.jpg,VC SLEW LIMITER,"
                                            MSRP $96.00                                    "
https://www.electronicmusicworks.com/eurorack/vc-pan.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vc_pan_b.jpg,VC PAN,"
                                            MSRP $92.00                                    "
https://www.electronicmusicworks.com/eurorack/ring-modulator.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/r/i/ring_modulator_b.jpg,RING MODULATOR,"
                                            MSRP $79.00                                    "
https://www.electronicmusicworks.com/eurorack/audio-switch-202.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/u/audio_switch_202_b.jpg,AUDIO SWITCH 202,"
                                            MSRP $94.00                                    "
https://www.electronicmusicworks.com/eurorack/analog-switch-4x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/n/analog_switch_4x_b.jpg,ANALOG SWITCH 4X,"
                                            MSRP $92.00                                    "
https://www.electronicmusicworks.com/eurorack/switched-distributor-4x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/w/switched_distributor_4x_b.jpg,SWITCHED DISTRIBUTOR 4X,"
                                            MSRP $92.00                                    "
https://www.electronicmusicworks.com/eurorack/mix-sequencer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/2/_/2.jpeg,MIX SEQUENCER,"
                                            MSRP $239.00                                    "
https://www.electronicmusicworks.com/eurorack/sequential-voltage.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/e/sequential_voltage_b.jpg,SEQUENTIAL VOLTAGE,"
                                            MSRP $112.00                                    "
https://www.electronicmusicworks.com/eurorack/sequential-voltage-16.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/e/sequential_voltage_16.jpeg,SEQUENTIAL VOLTAGE 16,"
                                            MSRP $179.00                                    "
